platformId,gameId
EUN1,2698206140
EUW1,5022499951
KR,4914033036
NA1,3748466971
OC1,396620954
EUN1,2698596794
EUW1,5023094739
KR,4914659579
NA1,3748600400
OC1,396626278
EUN1,2698729404
EUW1,5023290323
KR,4915464766
NA1,3749660747
OC1,396658990
EUN1,2698714928
EUW1,5024184365
KR,4915615348
NA1,3749658844
OC1,396828738
EUN1,2698995631
EUW1,5024686296
KR,4915703524
NA1,3749749272
OC1,396946220
EUN1,2699173344
EUW1,5026582450
KR,4916461839
NA1,3751091276
OC1,397044571
EUN1,2699215734
EUW1,5026559792
KR,4916611115
NA1,3751097110
OC1,397058669
EUN1,2700007922
EUW1,5028396484
KR,4916870578
NA1,3751307288
OC1,397075226
EUN1,2700867892
EUW1,5028484570
KR,4919581943
NA1,3751997583
OC1,397118413
EUN1,2700870966
EUW1,5028688525
KR,4920680778
NA1,3752072430
OC1,397151158
EUN1,2700904069
EUW1,5028795736
KR,4926489217
NA1,3752067574
OC1,397148753
EUN1,2700972940
EUW1,5029051497
KR,4960953200
NA1,3752150120
OC1,397198546
EUN1,2701159894
EUW1,5029271961
KR,4904379758
NA1,3752138498
OC1,397277334
EUN1,2701135102
EUW1,5029363776
KR,4904435038
NA1,3752262494
OC1,397279741
EUN1,2702908637
EUW1,5030489544
KR,4904571390
NA1,3752337168
OC1,397613734
EUN1,2703028370
EUW1,5030596617
KR,4904773251
NA1,3752572825
OC1,397786181
EUN1,2703136675
EUW1,5030714054
KR,4905232486
NA1,3753300967
OC1,397821340
EUN1,2703601661
EUW1,5033874798
KR,4905257205
NA1,3756763521
OC1,397804522
EUN1,2703806234
EUW1,5035820102
KR,4905324691
NA1,3756939965
OC1,398114402
EUN1,2704145135
EUW1,5038070404
KR,4906847697
NA1,3764487009
OC1,399079107
EUN1,2704238854
EUW1,5038149991
KR,4906941686
NA1,3764655091
OC1,399132725
EUN1,2704273943
EUW1,5038267154
KR,4906904888
NA1,3764761951
OC1,399159126
EUN1,2704613697
EUW1,5038423328
KR,4907040154
NA1,3764735159
OC1,399405807
EUN1,2704667273
EUW1,5039152708
KR,4906997498
NA1,3765078415
OC1,399449095
EUN1,2705151577
EUW1,5044686251
KR,4907135993
NA1,3765308618
OC1,399562464
EUN1,2705818056
EUW1,5047788491
KR,4907750851
NA1,3765563571
OC1,399779474
EUN1,2706532072
EUW1,5048061313
KR,4907879356
NA1,3765914806
OC1,399842558
EUN1,2706699060
EUW1,5055998581
KR,4907899003
NA1,3737794514
OC1,399882352
EUN1,2707181664
EUW1,5057158535
KR,4907985034
NA1,3738580913
OC1,399897075
EUN1,2707166894
EUW1,5059291903
KR,4908120073
NA1,3742090742
OC1,400186946
EUN1,2707259866
EUW1,5061820322
KR,4908271039
NA1,3746821397
OC1,400223457
EUN1,2707288689
EUW1,5062095376
KR,4908320767
NA1,3746819462
OC1,400216091
EUN1,2707679822
EUW1,5019212136
KR,4908348328
NA1,3736683753
OC1,391545845
EUN1,2708443824
EUW1,5019187999
KR,4909101489
NA1,3737198736
OC1,391579766
EUN1,2708508834
EUW1,5019324612
KR,4911231040
NA1,3737601624
OC1,391774535
EUN1,2708866075
EUW1,5019355721
KR,4911581838
NA1,3737661364
OC1,391777556
EUN1,2709632676
EUW1,5019798251
KR,4911690556
NA1,3737945511
OC1,392136151
EUN1,2709697547
EUW1,5038947849
KR,4911806412
NA1,3738041254
OC1,392174235
EUN1,2710878738
EUW1,5055224658
KR,4911880849
NA1,3738200428
OC1,392211365
EUN1,2712444970
EUW1,5061182355
KR,4912350807
